name,type,episodes,members,score_members,rating,genre,dates,Description,Image-SRC,english_name,url
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26.0,204255.0,93307.0,8.53,"['Action', 'Mystery', 'Sci-Fi', 'Mecha', 'Military', 'Police', 'Seinen']",        Jan 2004 - Jan 2005,"['Following the closure of the ""Laughing Man"" case, Section 9 is re-established by Japan\'s newly elected Prime Minister, Youko Kayabuki, to combat the persistent threat of cyber-terrorism.\n\r\nA group calling themselves ""The Individual Eleven"" has begun committing acts of terror across Japan. While Motoko Kusanagi, Daisuke Aramaki, Batou, and the other members of Section 9 investigate this new menace, the Japanese government faces a separate crisis, as foreign refugees displaced by the Third World War seek asylum in Japan. But as the members of the special-ops team continually encounter Gouda Kazundo—a leading member of the Cabinet Intelligence Service—in their hunt, they begin to suspect that he may be involved, and that the events of the refugee crisis and The Individual Eleven may be more connected than they realize...\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1480/100555.jpg,Ghost in the Shell: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
Slam Dunk,TV,101.0,237541.0,102933.0,8.53,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",        Oct 1993 - Mar 1996,"['Hanamichi Sakuragi, infamous for his temper, massive height, and fire-red hair, enrolls in Shohoku High, hoping to finally get a girlfriend and break his record of being rejected 50 consecutive times in middle school. His notoriety precedes him, however, leading to him being avoided by most students. Soon, after certain events, Hanamichi is left with two unwavering thoughts: ""I hate basketball,"" and ""I desperately need a girlfriend.""\n\r\nOne day, a girl named Haruko Akagi approaches him without any knowledge of his troublemaking ways and asks him if he likes basketball. Hanamichi immediately falls head over heels in love with her, blurting out a fervent affirmative. She then leads him to the gymnasium, where she asks him if he can do a slam dunk. In an attempt to impress Haruko, he makes the leap, but overshoots, instead slamming his head straight into the blackboard. When Haruko informs the basketball team\'s captain of Hanamichi\'s near-inhuman physical capabilities, he slowly finds himself drawn into the camaraderie and competition of the sport he had previously held resentment for.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/12/86890.jpg,,https://myanimelist.net/anime/170/Slam_Dunk
One Punch Man,TV,12.0,2583068.0,1776669.0,8.52,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Parody', 'SuperPower']",        Oct 2015 - Dec 2015,"[""The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.\n\r\nThis all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man, an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/12/76049.jpg,,https://myanimelist.net/anime/30276/One_Punch_Man
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12.0,608093.0,320418.0,8.52,"['Drama', 'Fantasy', 'Suspense', 'Psychological']",        Jan 2021 - Mar 2021,"[""After a stern yet compelling speech by Otto, Subaru Natsuki solemnly swears that he will successfully make it through this timeline and save everyone he can along the way. The first step toward achieving this goal is to help Emilia work through her past; however, that is easier said than done. Feeling as if she has been lied to by everyone around her, it will be difficult for Emilia to trust anyone, even Subaru, her self-proclaimed knight.\n\nRe:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2 presents the culmination of Subaru's experiences with the Sanctuary and its people, along with his unwillingness to give up hope on saving them.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1724/117421.jpg,,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
Shingeki no Kyojin,TV,25.0,3166638.0,2212814.0,8.52,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'SuperPower', 'Shounen']",        Apr 2013 - Sep 2013,"[""Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.\n\r\nAfter witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga, Shingeki no Kyojin follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/10/47347.jpg,Attack on Titan,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Ansatsu Kyoushitsu 2nd Season,TV,25.0,1128149.0,688053.0,8.52,"['Action', 'Comedy', 'School', 'Shounen']",        Jan 2016 - Jul 2016,"[""The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.\n\r\nMoreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/8/77966.jpg,Assassination Classroom Second Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1.0,135955.0,78113.0,8.52,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2010 - Apr 2010,"[""Gintoki and his Yorozuya friends (or rather, employees suffering under labor violations), Shinpachi and Kagura, continue to scrape by in the futuristic, alien-infested city of Edo. They take on whatever work they can find while trying not to get involved in anything too dangerous. But when Katsura, the leader of the Joui rebels and Gintoki's long-time acquaintance, disappears after being brutally attacked by an unknown assassin, Shinpachi and Kagura begin an investigation into his whereabouts and the identity of the assailant. Meanwhile, Gintoki takes on a seemingly unrelated job: the blacksmith Tetsuya requests that Gin recover a strange and powerful sword called the Benizakura which was recently stolen.\n\r\nAs the two investigations gradually intersect, the Yorozuya crew find themselves in the midst of a major conspiracy that hinges on the sinister nature of the Benizakura sword. Gintoki resolves to take the fight directly to the enemy headquarters, and together with a few unexpected allies, sets out on one of his most perilous jobs yet.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/4/28803.jpg,Gintama: The Movie,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
Josee to Tora to Sakana-tachi,Movie,1.0,216664.0,93208.0,8.52,"['Drama', 'Romance', 'SliceofLife']",        Dec 2020 - Dec 2020,"['Equipped with his passion for diving and admiration for marine biology, university student Tsuneo Suzukawa tries his best to juggle several part-time jobs to earn enough money to study abroad. But one night, in a fateful accident, he meets a girl in a wheelchair, driving his current path into a detour.\n\r\nThe girl, Kumiko—who prefers to be called ""Josee""—initially comes off as rude. Tsuneo, however, is then convinced by Josee\'s grandmother to take on the paid job to be Josee\'s caretaker. Despite being annoyed with her bossy demeanor, Tsuneo sees the opportunity to save more funds to support his academic dream. Nonetheless, after putting up with Josee\'s behavior for some time, Tsuneo tries to quit, only to discover Josee\'s dreams of traversing the outside world—to experience a life free from her crippling condition.\n\r\nChanging his mind, Tsuneo decides to accompany Josee in exploring the wonders that the world has to offer. Through their time together, the two begin to realize that the traits that bind them may be vital toward fulfilling their respective aspirations.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1714/108892.jpg,"Josee, the Tiger and the Fish",https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
Kenpuu Denki Berserk,TV,25.0,496767.0,258869.0,8.52,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Demons', 'Military', 'Seinen']",        Oct 1997 - Apr 1998,"['Born from the corpse of his mother, a young mercenary known only as Guts embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next.\n\r\nAfter a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith\'s force, taking Midland by storm. However, while the band\'s quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed.\n\r\nSet in the medieval era, Kenpuu Denki Berserk is a dark, gritty tale that follows one man\'s struggle to find his own path, while supporting another\'s lust for power, and the unimaginable tragedy that begins to turn the wheels of fate.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/12/18520.jpg,Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Aria the Origination,TV,13.0,108800.0,26390.0,8.51,"['Fantasy', 'Sci-Fi', 'SliceofLife', 'Shounen']",        Jan 2008 - Apr 2008,"['In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.\n\nAria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/6/77623.jpg,,https://myanimelist.net/anime/3297/Aria_the_Origination
Banana Fish,TV,24.0,626940.0,254347.0,8.51,"['Action', 'Adventure', 'Drama', 'Shoujo']",        Jul 2018 - Dec 2018,"['Aslan Jade Callenreese, known as Ash Lynx, was a runaway picked off the streets of New York City and raised by the infamous godfather of the mafia, Dino Golzine. Now 17 years old and the boss of his own gang, Ash begins investigating the mysterious ""Banana Fish""—the same two words his older brother, Griffin, has muttered since his return from the Iraq War. However, his inquiries are hindered when Dino sends his men after Ash at an underground bar he uses as a hideout.\n\r\nAt the bar, Skip, Ash\'s friend, introduces him to Shunichi Ibe and his assistant, Eiji Okumura, who are Japanese photographers reporting on American street gangs. However, their conversation is interrupted when Shorter Wong, one of Ash\'s allies, calls to warn him about Dino. Soon, Dino\'s men storm the bar, and in the ensuing chaos kidnap Skip and Eiji. Now, Ash must find a way to rescue them and continue his investigation into Banana Fish, but will his history with the mafia prevent him from succeeding?\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1190/93472.jpg,,https://myanimelist.net/anime/36649/Banana_Fish
Perfect Blue,Movie,1.0,508871.0,269256.0,8.51,"['AvantGarde', 'Drama', 'Horror', 'Psychological']",        Feb 1998 - Feb 1998,"[""J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her.\n\r\nHowever, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/11/79127.jpg,,https://myanimelist.net/anime/437/Perfect_Blue
Steins;Gate 0,TV,23.0,704095.0,316143.0,8.51,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological']",        Apr 2018 - Sep 2018,"[""The eccentric, self-proclaimed mad scientist Rintarou Okabe has become a shell of his former self. Depressed and traumatized after failing to rescue his friend Makise Kurisu, he has decided to forsake his mad scientist alter ego and live as an ordinary college student. Surrounded by friends who know little of his time travel experiences, Okabe spends his days trying to forget the horrors of his adventures alone. \n\r\nWhile working as a receptionist at a college technology forum, Okabe meets the short, spunky Maho Hiyajo, who \r\nlater turns out to be the interpreter at the forum's presentation, conducted by Professor Alexis Leskinen. In front of a stunned crowd, Alexis and Maho unveil Amadeus—a revolutionary AI capable of storing a person's memories and creating a perfect simulation of that person complete with their personality and quirks. Meeting with Maho and Alexis after the presentation, Okabe learns that the two were Kurisu's colleagues in university, and that they have simulated her in Amadeus. Hired by Alexis to research the simulation's behavior, Okabe is given the chance to interact with the shadow of a long-lost dear friend. Dangerously tangled in the past, Okabe must face the harsh reality and carefully maneuver around the disastrous consequences that come with disturbing the natural flow of time.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1375/93521.jpg,,https://myanimelist.net/anime/30484/Steins_Gate_0
Tian Guan Ci Fu Special,ONA,1.0,23614.0,11545.0,8.51,"['Drama', 'Supernatural', 'Historical']",        Feb 2021 - Feb 2021,"[""Xie Lian and Hua Cheng recount their recent adventures during a quiet night at Puqi Shrine. Amidst the serenity, the Crimson Rain Sought Flower reveals a little more about Xie Lian's true character, and an embarrassing memory reminds him of how much he has changed since his previous ascensions. However, no matter how much time has passed, Xie Lian never fails to believe in the good he sees in the people around him. Though the heavens may ridicule him, his words and actions have earned him the most devout of followers.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1043/110306.jpg,,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
Uchuu Kyoudai,TV,99.0,167439.0,41228.0,8.51,"['Comedy', 'Sci-Fi', 'SliceofLife', 'Space', 'Seinen']",        Apr 2012 - Mar 2014,"[""On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars.\n\r\nNow an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/7/37573.jpg,Space Brothers,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
Nana,TV,47.0,501018.0,179625.0,8.5,"['Comedy', 'Drama', 'Romance', 'SliceofLife', 'Music', 'Shoujo']",        Apr 2006 - Mar 2007,"['Nana Komatsu is a helpless, naïve 20-year-old who easily falls in love and becomes dependent and clingy to those around her. Even though she nurses ambitious dreams of removing herself from her provincial roots and finding her true calling, she ends up traveling to Tokyo with the humble reason of chasing her current boyfriend Shouji Endo.\n\r\nNana Osaki, on the other hand, is a proud, enigmatic punk rock vocalist from a similarly rural background, who nurtures the desire to become a professional singer. Putting her career with a fairly popular band (and her passionate romance with one of its former members) firmly behind her, she boards the same train to Tokyo as Nana Komatsu.\n\r\nThrough a fateful encounter in their journey toward the metropolis, the young women with the same given name are brought together, sparking a chain of events which eventually result in them sharing an apartment. As their friendship deepens, the two attempt to support each other through thick and thin, their deeply intertwined lives filled with romance, music, challenges, and heartbreaks that will ultimately test their seemingly unbreakable bond.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/2/11232.jpg,,https://myanimelist.net/anime/877/Nana
Rainbow: Nisha Rokubou no Shichinin,TV,26.0,342157.0,131064.0,8.5,"['Drama', 'Suspense', 'Historical', 'Seinen']",        Apr 2010 - Sep 2010,"['Japan, 1955: Mario Minakami has just arrived at Shounan Special Reform School along with five other teenagers who have been arrested on serious criminal charges. All assigned to the same cell, they meet older inmate Rokurouta Sakuragi—a former boxer—with whom they establish a close bond. Under his guidance, and with the promise that they will meet again on the outside after serving their sentences, the delinquents begin to view their hopeless situation in a better light.\n\nRainbow: Nisha Rokubou no Shichinin follows the seven cellmates as they struggle together against the brutal suffering and humiliation inflicted upon them by Ishihara, a sadistic guard with a grudge on Rokurouta, and Gisuke Sasaki, a doctor who takes pleasure in violating boys. Facing such hellish conditions, the seven inmates must scrape together all the strength they have to survive until their sentences are up; but even if they do, just what kind of lives are waiting for them on the other side?\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/9/72697.jpg,Rainbow,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
Samurai Champloo,TV,26.0,1039019.0,522572.0,8.5,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",        May 2004 - Mar 2005,"[""Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son.\n\r\nFor their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other.\n\r\nSet in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/11/29134.jpg,,https://myanimelist.net/anime/205/Samurai_Champloo
Hotaru no Haka,Movie,1.0,532949.0,317527.0,8.5,"['Drama', 'Historical']",        Apr 1988 - Apr 1988,"['As World War II reaches its conclusion in 1945, Japan faces widespread destruction in the form of American bombings, devastating city after city. Hotaru no Haka, also known as Grave of the Fireflies, is the story of Seita and his sister Setsuko, two Japanese children whose lives are ravaged by the brutal war. They have lost their mother, their father, their home, and the prospect of a bright future—all tragic consequences of the war.\n\r\nNow orphaned and homeless, Seita and Setsuko have no choice but to drift across the countryside, beset by starvation and disease. Met with the apathy of adults along the way, they find that desperate circumstances can turn even the kindest of people cruel yet their youthful hope shines brightly in the face of unrelenting hardship, preventing the siblings from swiftly succumbing to an inevitable fate.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/7/75808.jpg,Grave of the Fireflies,https://myanimelist.net/anime/578/Hotaru_no_Haka
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39.0,825784.0,549613.0,8.5,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural', 'Shounen']",        Apr 2016 - Dec 2016,"[""The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.\n\r\nAlong with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/3/79156.jpg,JoJo's Bizarre Adventure: Diamond is Unbreakable,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
Chihayafuru 3,TV,24.0,109214.0,44380.0,8.49,"['Drama', 'SliceofLife', 'Sports', 'Game', 'School', 'Josei']",        Oct 2019 - Mar 2020,"[""Winning the high school team tournament was a great accomplishment for the Mizusawa members. Each of them has made great strides in improving themselves, and the victory symbolizes how far they've come. But after accomplishing one goal, their individual aims are within reach. Chihaya Ayase has her sights set on Wakamiya Shinobu and the title of Queen, and now that Taichi Mashima has made it into Class A, he can finally compete against Arata Wataya. Everyone in Mizusawa wants to get better, and there's no telling what the future holds if they keep trying.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1898/110709.jpg,,https://myanimelist.net/anime/37379/Chihayafuru_3
Gintama: The Semi-Final,Special,2.0,44270.0,18503.0,8.49,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jan 2021 - Jan 2021,"[""As the war temporarily calms down and Edo rebuilds, Gintoki finds Shinpachi—who is still unaware of his return—on a bridge. However, as a fight quickly breaks out between the Yorozuya and the Tenshouin Naraku, suspicion grows, forcing Gintoki to use what is nearest—a loincloth—to mask his identity. Saved for the time being, Gintoki enters the Yorozuya office, but unbeknownst to him, someone else is already waiting there...\n\r\nMeanwhile, Kondou departs Earth to marry Princess Bubbles in an attempt to improve diplomatic relations. After boarding the Gorilla Amanto mother ship, he realizes that he doesn't speak their language. Confused, Kondou tries conversing with them, only to inadvertently gain their support. However, someone associated with the princess crashes the ongoing ceremony. Will the wedding continue, or has Kondou just been saved from becoming the next Gorilla Prince?\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1694/110521.jpg,,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
Shingeki no Kyojin Season 2,TV,12.0,2105216.0,1417829.0,8.49,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'SuperPower', 'Shounen']",        Apr 2017 - Jun 2017,"['For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossus Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.\n\r\nIn Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/4/84177.jpg,Attack on Titan Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
Vivy: Fluorite Eye's Song,TV,13.0,339866.0,140115.0,8.49,"['Action', 'Sci-Fi', 'Suspense', 'Music']",        Apr 2021 - Jun 2021,"['When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past.\n\r\nTurning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1637/115052.jpg,Vivy -Fluorite Eye's Song-,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
Mo Dao Zu Shi,ONA,15.0,173438.0,53491.0,8.48,"['Action', 'Adventure', 'Mystery', 'Supernatural', 'Historical']",        Jul 2018 - Oct 2018,"['Xian: the state of immortality that all cultivators strive to achieve. However, there is a dark energy that lies underneath—the forbidden Mo Dao, or demonic path. Through an unfortunate series of tragedies, this is the path that cultivator Wei Wuxian experiments with during his teachings. His rise in power is accompanied by chaos and destruction, but his reign of terror comes to an abrupt end when the cultivation clans overpower him and he is killed by his closest ally.\n\r\nThirteen years later, Wei Wuxian is reincarnated in the body of a lunatic and reunited with Lan Wangji, a former classmate of his. This marks the beginning of a supernatural mystery that plagues the clans and threatens to disrupt their everyday life.\n\nMo Dao Zu Shi follows these two men on their mission to unravel the mysteries of the spiritual world. Fighting demons, ghosts, and even other cultivators, the two end up forming a bond that neither of them had ever expected.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1253/93893.jpg,,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
Mob Psycho 100,TV,12.0,1574410.0,943863.0,8.48,"['Action', 'Comedy', 'SliceofLife', 'Supernatural']",        Jul 2016 - Sep 2016,"['Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob\'s only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks.\n\r\nIn order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob\'s powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob\'s daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob\'s explosion is rising and attempting to stop it is futile.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/8/80356.jpg,,https://myanimelist.net/anime/32182/Mob_Psycho_100
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1.0,571596.0,352878.0,8.48,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Parody']",        Aug 2019 - Aug 2019,"[""It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.\n\r\nWhen Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.\n\r\nThere, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/1129/117109.jpg,KonoSuba: God's Blessing on This Wonderful World!: Legend of Crimson,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
